district_code,category,amount,school_year
14400,Special Education,1222664.9,2024-25
14400,Transportation,337608.9,2024-25
14400,Vocational/CTE,204584.13,2024-25
15201,Basic Education,56824623.85,2024-25
15201,COVID Relief,31223.58,2024-25
15201,Community Services,23797.06,2024-25
15201,Compensatory Education,3303485.54,2024-25
15201,Districtwide Support,14218392.15,2024-25
15201,Food Services,4356454.39,2024-25
15201,Other Instructional,1454687.39,2024-25
15201,Special Education,21560575.58,2024-25
15201,Transportation,4142384.56,2024-25
15201,Vocational/CTE,4721213.92,2024-25
15204,Basic Education,8860959.96,2024-25
15204,Community Services,40810.56,2024-25
15204,Compensatory Education,1474457.58,2024-25
15204,Districtwide Support,3355978.15,2024-25
15204,Food Services,893819.35,2024-25
15204,Other Instructional,145030.33,2024-25
15204,Special Education,3063728.02,2024-25
15204,Transportation,622536.97,2024-25
15204,Vocational/CTE,431583.15,2024-25
15206,Basic Education,11657095.78,2024-25
15206,Community Services,370983.96,2024-25
15206,Compensatory Education,872278.12,2024-25
15206,Districtwide Support,3585749.99,2024-25
15206,Food Services,629404.3,2024-25
15206,Other Instructional,190725.71,2024-25
15206,Special Education,3814749.55,2024-25
15206,Transportation,977376.35,2024-25
15206,Vocational/CTE,680312.77,2024-25
16020,Basic Education,473810.75,2024-25
16020,COVID Relief,3758.7,2024-25
16020,Compensatory Education,78620.24,2024-25
16020,Districtwide Support,542109.64,2024-25
16020,Food Services,116298.3,2024-25
16020,Special Education,183343.22,2024-25
16020,Transportation,75496.55,2024-25
16046,Basic Education,677922.89,2024-25
16046,Compensatory Education,246982.87,2024-25
16046,Districtwide Support,525691.19,2024-25
16046,Food Services,147630.71,2024-25
16046,Other Instructional,22828.02,2024-25
16046,Special Education,165668.4,2024-25
16046,Transportation,133330.36,2024-25
16048,Basic Education,6300983.86,2024-25
16048,Community Services,26063.65,2024-25
16048,Compensatory Education,391107.47,2024-25
16048,Districtwide Support,1741403.12,2024-25
16048,Food Services,304443.66,2024-25
16048,Other Instructional,124643.09,2024-25
16048,Special Education,1239787.2,2024-25
16048,Transportation,468405.96,2024-25
16048,Vocational/CTE,233331.58,2024-25
16049,Basic Education,6837747.87,2024-25
16049,Compensatory Education,1206096.23,2024-25
16049,Districtwide Support,3443049.46,2024-25
16049,Food Services,661919.01,2024-25
16049,Other Instructional,25774.59,2024-25
16049,Special Education,2750903.67,2024-25
16049,Transportation,1341022.89,2024-25
16049,Vocational/CTE,335556.43,2024-25
16050,Basic Education,11824754.45,2024-25
16050,Community Services,34689.69,2024-25
16050,Compensatory Education,1513029.16,2024-25
16050,Districtwide Support,4308808.25,2024-25
16050,Food Services,1096426.5,2024-25
16050,Other Instructional,385323.66,2024-25
16050,Special Education,3353851.86,2024-25
16050,Transportation,897379.67,2024-25
16050,Vocational/CTE,720719.62,2024-25
17001,Basic Education,500675715.03,2024-25
17001,COVID Relief,21047.01,2024-25
17001,Community Services,1845085.0,2024-25
17001,Compensatory Education,46047583.75,2024-25
17001,Districtwide Support,157338052.32,2024-25
17001,Food Services,20515334.04,2024-25
17001,Other Instructional,104791927.85,2024-25
17001,Special Education,272339063.19,2024-25
17001,Transportation,63526255.49,2024-25
17001,Vocational/CTE,28755001.4,2024-25
17210,Basic Education,203836038.71,2024-25
17210,COVID Relief,43187.66,2024-25
17210,Community Services,6364855.51,2024-25
17210,Compensatory Education,31045037.29,2024-25
17210,Districtwide Support,54841763.09,2024-25
17210,Food Services,14860589.93,2024-25
17210,Other Instructional,16967921.34,2024-25
17210,Special Education,64572985.58,2024-25
17210,Transportation,21205267.51,2024-25
17210,Vocational/CTE,15259355.36,2024-25
17216,Basic Education,38266031.23,2024-25
17216,COVID Relief,420.56,2024-25
17216,Community Services,904617.9,2024-25
17216,Compensatory Education,1964354.2,2024-25
17216,Districtwide Support,10778725.3,2024-25
17216,Food Services,3142860.81,2024-25
17216,Other Instructional,1363501.39,2024-25
17216,Special Education,13465380.88,2024-25
17216,Transportation,3857353.03,2024-25
17216,Vocational/CTE,6266782.74,2024-25
17400,Basic Education,44136713.44,2024-25
17400,Community Services,535728.37,2024-25
17400,Compensatory Education,819871.02,2024-25
17400,Districtwide Support,11555854.98,2024-25
17400,Food Services,2183504.84,2024-25
17400,Other Instructional,902994.18,2024-25
17400,Special Education,12615310.89,2024-25
17400,Transportation,2574576.87,2024-25
17400,Vocational/CTE,3765600.61,2024-25
17401,Basic Education,189336192.7,2024-25
17401,Community Services,4811059.8,2024-25
17401,Compensatory Education,30034001.64,2024-25
17401,Districtwide Support,52907645.43,2024-25
17401,Food Services,10559579.64,2024-25
17401,Other Instructional,16882953.77,2024-25
17401,Special Education,67350652.75,2024-25
17401,Transportation,11871216.69,2024-25
17401,Vocational/CTE,16539704.08,2024-25
17402,Basic Education,13404738.49,2024-25
17402,COVID Relief,1255.0,2024-25
17402,Community Services,252548.63,2024-25
17402,Compensatory Education,807684.98,2024-25
17402,Districtwide Support,5659090.8,2024-25
17402,Food Services,830461.76,2024-25
17402,Other Instructional,455485.13,2024-25
17402,Special Education,3468924.88,2024-25
17402,Transportation,1582429.75,2024-25
17402,Vocational/CTE,1352412.7,2024-25
17403,Basic Education,144275684.51,2024-25
17403,COVID Relief,29831.51,2024-25
17403,Community Services,3305853.01,2024-25
17403,Compensatory Education,17234776.12,2024-25
17403,Districtwide Support,33251939.28,2024-25
17403,Food Services,8522785.42,2024-25
17403,Other Instructional,9838319.85,2024-25
17403,Special Education,59958099.1,2024-25
17403,Transportation,13985343.25,2024-25
17403,Vocational/CTE,18523000.49,2024-25
17404,Basic Education,1585868.58,2024-25
17404,Community Services,149912.98,2024-25
17404,Compensatory Education,35955.26,2024-25
17404,Districtwide Support,621472.02,2024-25
17404,Food Services,110099.71,2024-25
17404,Other Instructional,996.59,2024-25
17404,Special Education,270803.49,2024-25
17404,Transportation,157924.96,2024-25
17405,Basic Education,235192451.95,2024-25
17405,Community Services,10115188.95,2024-25
17405,Compensatory Education,9879338.97,2024-25
17405,Districtwide Support,50380149.63,2024-25
17405,Food Services,8045546.16,2024-25
17405,Other Instructional,11054819.52,2024-25
17405,Special Education,78632090.23,2024-25
17405,Transportation,10222055.94,2024-25
17405,Vocational/CTE,12672032.82,2024-25
17406,Basic Education,25447010.85,2024-25
17406,Community Services,1906221.63,2024-25
17406,Compensatory Education,4445532.51,2024-25
17406,Districtwide Support,8466390.75,2024-25
17406,Food Services,1918901.49,2024-25
17406,Other Instructional,2964788.49,2024-25
17406,Special Education,7736985.19,2024-25
17406,Transportation,1634840.25,2024-25
17406,Vocational/CTE,1903474.96,2024-25
17407,Basic Education,32729398.14,2024-25
17407,Community Services,496124.04,2024-25
17407,Compensatory Education,1061569.68,2024-25
17407,Districtwide Support,10020599.7,2024-25
17407,Food Services,1580828.98,2024-25
17407,Other Instructional,665582.9,2024-25
17407,Special Education,7073599.35,2024-25
17407,Transportation,3165027.47,2024-25
17407,Vocational/CTE,2404448.61,2024-25
17408,Basic Education,185442334.46,2024-25
17408,COVID Relief,7476.65,2024-25
17408,Community Services,4960143.22,2024-25
17408,Compensatory Education,21820867.08,2024-25
17408,Districtwide Support,40378132.9,2024-25
17408,Food Services,13733750.17,2024-25
17408,Other Instructional,14742346.26,2024-25
17408,Special Education,50167621.33,2024-25
17408,Transportation,12464345.66,2024-25
17408,Vocational/CTE,11713394.89,2024-25
17409,Basic Education,91696612.64,2024-25
17409,Community Services,1574536.11,2024-25
17409,Compensatory Education,2779722.72,2024-25
17409,Districtwide Support,24509664.28,2024-25
17409,Food Services,2475835.35,2024-25
17409,Other Instructional,3989698.34,2024-25
17409,Special Education,31663540.72,2024-25
17409,Transportation,6573595.14,2024-25
17409,Vocational/CTE,7295311.99,2024-25
17410,Basic Education,74310023.62,2024-25
17410,Community Services,658123.21,2024-25
17410,Compensatory Education,1860326.6,2024-25
17410,Districtwide Support,19509460.11,2024-25
17410,Food Services,2721254.9,2024-25
17410,Other Instructional,2066846.34,2024-25
17410,Special Education,20207976.07,2024-25
17410,Transportation,5820940.84,2024-25
17410,Vocational/CTE,5704823.0,2024-25
17411,Basic Education,220318398.25,2024-25
17411,COVID Relief,2811.8,2024-25
17411,Community Services,10845683.68,2024-25
17411,Compensatory Education,9934192.36,2024-25
17411,Districtwide Support,47553868.2,2024-25
17411,Food Services,7808614.67,2024-25
17411,Other Instructional,8023318.88,2024-25
17411,Special Education,50527123.25,2024-25
17411,Transportation,14814167.17,2024-25
17411,Vocational/CTE,13405781.93,2024-25
17412,Basic Education,100744393.61,2024-25
17412,COVID Relief,10306.47,2024-25
17412,Community Services,2148540.77,2024-25
17412,Compensatory Education,4546543.27,2024-25
17412,Districtwide Support,20761892.37,2024-25
17412,Food Services,4168702.81,2024-25
17412,Other Instructional,4068725.78,2024-25
17412,Special Education,31562082.12,2024-25
17412,Transportation,5583348.94,2024-25
17412,Vocational/CTE,5239833.04,2024-25
17414,Basic Education,346988559.3,2024-25
17414,COVID Relief,991.02,2024-25
17414,Community Services,3528199.64,2024-25
17414,Compensatory Education,7665241.8,2024-25
17414,Districtwide Support,63197070.31,2024-25
17414,Food Services,9786055.36,2024-25
17414,Other Instructional,12930455.84,2024-25
17414,Special Education,87111745.57,2024-25
17414,Transportation,18927431.22,2024-25
17414,Vocational/CTE,30833713.54,2024-25
17415,Basic Education,260616922.78,2024-25
17415,COVID Relief,238355.51,2024-25
17415,Community Services,588150.49,2024-25
17415,Compensatory Education,31986618.09,2024-25
17415,Districtwide Support,65455331.67,2024-25
17415,Food Services,15143272.92,2024-25
17415,Other Instructional,21168963.71,2024-25
17415,Special Education,99702340.56,2024-25
17415,Transportation,20197857.09,2024-25
17415,Vocational/CTE,21883315.19,2024-25
17417,Basic Education,228739172.37,2024-25
17417,COVID Relief,3332.44,2024-25
17417,Community Services,695394.1,2024-25
17417,Compensatory Education,6588689.55,2024-25
17417,Districtwide Support,50338803.4,2024-25
17417,Food Services,9946603.3,2024-25
17417,Other Instructional,20479324.43,2024-25
17417,Special Education,86776721.66,2024-25
17417,Transportation,14332279.3,2024-25
17417,Vocational/CTE,13635131.85,2024-25
17902,Basic Education,2473392.88,2024-25
17902,Compensatory Education,215022.7,2024-25
17902,Districtwide Support,1407580.72,2024-25
17902,Food Services,42692.79,2024-25
17902,Other Instructional,53442.87,2024-25
17902,Special Education,664249.92,2024-25
17902,Transportation,2518.72,2024-25
17903,Basic Education,5810307.57,2024-25
17903,Compensatory Education,574041.38,2024-25
17903,Districtwide Support,249395.57,2024-25
17903,Food Services,99921.59,2024-25
17903,Special Education,1177028.56,2024-25
17903,Transportation,451389.76,2024-25
17903,Vocational/CTE,409238.4,2024-25
17905,Basic Education,5999740.62,2024-25
17905,Compensatory Education,518420.5,2024-25
17905,Districtwide Support,2901653.83,2024-25
17905,Food Services,163237.35,2024-25
17905,Other Instructional,156950.24,2024-25
17905,Special Education,1977220.39,2024-25
17905,Transportation,615144.74,2024-25
17908,Basic Education,3634864.07,2024-25
17908,Compensatory Education,556039.93,2024-25
17908,Districtwide Support,947376.0,2024-25
17908,Food Services,324553.0,2024-25
17908,Other Instructional,351707.0,2024-25
17908,Special Education,439393.0,2024-25
17908,Transportation,727794.0,2024-25
17910,Basic Education,1366678.44,2024-25
17910,COVID Relief,13449.94,2024-25
17910,Compensatory Education,588020.82,2024-25
17910,Districtwide Support,2219936.35,2024-25
17910,Food Services,127561.37,2024-25
17910,Other Instructional,240425.84,2024-25
17910,Special Education,767540.65,2024-25
17910,Transportation,115484.42,2024-25
17910,Vocational/CTE,53579.64,2024-25
17911,Basic Education,3916251.11,2024-25
17911,Compensatory Education,700317.24,2024-25
17911,Districtwide Support,2061713.69,2024-25
17911,Food Services,356612.59,2024-25
17911,Other Instructional,336670.44,2024-25
17911,Special Education,1350962.17,2024-25
17911,Transportation,536902.27,2024-25
17916,Basic Education,3326777.4,2024-25
17916,Compensatory Education,439922.38,2024-25
17916,Districtwide Support,1460924.21,2024-25
17916,Food Services,261578.1,2024-25
17916,Other Instructional,243445.79,2024-25
17916,Special Education,835368.74,2024-25
17916,Transportation,266804.23,2024-25
17917,Basic Education,1476106.67,2024-25
17917,Compensatory Education,240845.62,2024-25
17917,Districtwide Support,1534083.77,2024-25
17917,Food Services,110485.19,2024-25
17917,Other Instructional,24188.9,2024-25
17917,Special Education,441548.49,2024-25
17917,Transportation,4836.01,2024-25
17919,Basic Education,1866508.03,2024-25
17919,Compensatory Education,211330.66,2024-25
17919,Districtwide Support,1578255.53,2024-25
17919,Food Services,185684.74,2024-25
17919,Other Instructional,556197.28,2024-25
17919,Special Education,531347.24,2024-25
17919,Transportation,98664.44,2024-25
18100,Basic Education,44595714.36,2024-25
18100,COVID Relief,11912.3,2024-25
18100,Community Services,418945.96,2024-25
18100,Compensatory Education,7057708.45,2024-25
18100,Districtwide Support,13779749.9,2024-25
18100,Food Services,3389937.14,2024-25
18100,Other Instructional,3034418.8,2024-25
18100,Special Education,17758591.53,2024-25
18100,Transportation,2842218.72,2024-25
18100,Vocational/CTE,8243263.31,2024-25
18303,Basic Education,36949502.28,2024-25
18303,Community Services,451981.7,2024-25
18303,Compensatory Education,957895.55,2024-25
18303,Districtwide Support,10882873.25,2024-25
18303,Food Services,2174877.12,2024-25
18303,Other Instructional,240581.08,2024-25
18303,Special Education,10847950.04,2024-25
18303,Transportation,2534667.72,2024-25
18303,Vocational/CTE,4153457.01,2024-25
18400,Basic Education,52547281.11,2024-25
18400,Community Services,874326.72,2024-25
18400,Compensatory Education,3244261.76,2024-25
18400,Districtwide Support,19443027.44,2024-25
18400,Food Services,2898977.17,2024-25
18400,Other Instructional,1258049.38,2024-25
18400,Special Education,18580713.64,2024-25
18400,Transportation,5128654.83,2024-25
18400,Vocational/CTE,4540985.51,2024-25
18401,Basic Education,109352191.8,2024-25
18401,COVID Relief,6202.91,2024-25
18401,Community Services,1624633.89,2024-25
18401,Compensatory Education,6877809.65,2024-25
18401,Districtwide Support,24893110.99,2024-25
18401,Food Services,4851161.29,2024-25
18401,Other Instructional,2805375.19,2024-25
18401,Special Education,40234980.84,2024-25
18401,Transportation,8023704.16,2024-25
18401,Vocational/CTE,8254721.97,2024-25
18402,Basic Education,91934622.65,2024-25
18402,Community Services,2701145.67,2024-25
18402,Compensatory Education,7716082.72,2024-25
18402,Districtwide Support,25178234.07,2024-25
18402,Food Services,5100087.77,2024-25
18402,Other Instructional,1729382.78,2024-25
18402,Special Education,35286765.86,2024-25
18402,Transportation,9386767.26,2024-25
18402,Vocational/CTE,11058191.28,2024-25
18901,Basic Education,3595025.67,2024-25
18901,Compensatory Education,606953.28,2024-25
18901,Districtwide Support,2396241.44,2024-25
18901,Food Services,498968.86,2024-25
18901,Other Instructional,587338.96,2024-25
18901,Special Education,1401397.78,2024-25
18901,Transportation,726504.71,2024-25
18902,Basic Education,2623585.49,2024-25
18902,Compensatory Education,117975.62,2024-25
18902,Special Education,154441.41,2024-25
18902,Transportation,18655.94,2024-25
18902,Vocational/CTE,6215.14,2024-25
19007,Basic Education,477959.51,2024-25
19007,Districtwide Support,300001.5,2024-25
19007,Special Education,101562.84,2024-25
19007,Transportation,286.65,2024-25
19028,Basic Education,1525066.18,2024-25
19028,Community Services,48841.26,2024-25
19028,Compensatory Education,147875.38,2024-25
19028,Districtwide Support,946399.1,2024-25
19028,Food Services,137541.39,2024-25
19028,Other Instructional,7537.76,2024-25
19028,Special Education,210037.09,2024-25
19028,Transportation,149563.88,2024-25
19400,Basic Education,3297710.79,2024-25
19400,Compensatory Education,240875.12,2024-25
19400,Districtwide Support,2623722.6,2024-25
19400,Food Services,312648.24,2024-25
19400,Other Instructional,4356.96,2024-25
19400,Special Education,592837.17,2024-25
19400,Transportation,136303.54,2024-25
19400,Vocational/CTE,212102.53,2024-25
19401,Basic Education,33274154.27,2024-25
19401,COVID Relief,10600.0,2024-25
19401,Community Services,337363.01,2024-25
19401,Compensatory Education,2722910.43,2024-25
19401,Districtwide Support,7742815.89,2024-25
19401,Food Services,1843979.52,2024-25
19401,Other Instructional,754454.98,2024-25
19401,Special Education,7054193.45,2024-25
19401,Transportation,2026757.9,2024-25
19401,Vocational/CTE,2011426.83,2024-25
19403,Basic Education,4903571.92,2024-25
19403,Community Services,16340.19,2024-25
19403,Compensatory Education,678274.82,2024-25
19403,Districtwide Support,2220103.14,2024-25
19403,Food Services,404317.19,2024-25
19403,Other Instructional,14810.93,2024-25
19403,Special Education,1152531.01,2024-25
19403,Transportation,398498.58,2024-25
19403,Vocational/CTE,607666.2,2024-25
19404,Basic Education,9600898.75,2024-25
19404,Compensatory Education,1072746.1,2024-25
19404,Districtwide Support,3089964.27,2024-25
19404,Food Services,476791.9,2024-25
19404,Other Instructional,238819.21,2024-25
19404,Special Education,2496502.36,2024-25
19404,Transportation,691801.4,2024-25
19404,Vocational/CTE,761416.85,2024-25
20094,Basic Education,1482271.1,2024-25
20094,Compensatory Education,252146.87,2024-25
20094,Districtwide Support,598702.5,2024-25
20094,Food Services,190187.97,2024-25
20094,Other Instructional,1118.53,2024-25
20094,Special Education,241651.76,2024-25
20094,Transportation,177283.63,2024-25
20094,Vocational/CTE,88095.56,2024-25
20203,Basic Education,1897079.73,2024-25
20203,Compensatory Education,12782.15,2024-25
20203,Districtwide Support,650492.19,2024-25
20203,Special Education,191850.74,2024-25
20203,Transportation,234806.75,2024-25
20215,Basic Education,855895.88,2024-25
20215,Compensatory Education,112644.79,2024-25
20215,Districtwide Support,410705.91,2024-25
20215,Food Services,82644.76,2024-25
20215,Other Instructional,7837.2,2024-25
20215,Special Education,135405.3,2024-25
20215,Transportation,195960.66,2024-25
20400,Basic Education,2881322.11,2024-25
20400,Community Services,1545.04,2024-25
20400,Compensatory Education,198028.24,2024-25
20400,Districtwide Support,1038464.91,2024-25
20400,Food Services,125734.08,2024-25
20400,Other Instructional,32186.58,2024-25
20400,Special Education,243219.99,2024-25
20400,Transportation,135177.85,2024-25
20401,Basic Education,1507798.95,2024-25
20401,Compensatory Education,87580.49,2024-25
20401,Districtwide Support,616063.32,2024-25
20401,Food Services,125055.0,2024-25
20401,Other Instructional,1641.67,2024-25
20401,Special Education,143753.35,2024-25
20401,Transportation,121640.23,2024-25
20401,Vocational/CTE,102983.91,2024-25
20402,Basic Education,1636836.0,2024-25
20402,Community Services,28317.19,2024-25
20402,Compensatory Education,130388.19,2024-25
20402,Districtwide Support,788265.98,2024-25
20402,Food Services,145880.8,2024-25
20402,Special Education,96807.24,2024-25
20402,Transportation,256167.56,2024-25
20403,Basic Education,250006.18,2024-25
20403,Compensatory Education,214437.16,2024-25
20403,Districtwide Support,133480.67,2024-25
20403,Food Services,1456.67,2024-25
20403,Other Instructional,18271.18,2024-25
20403,Special Education,24142.94,2024-25
20403,Transportation,104022.15,2024-25
20404,Basic Education,28686124.69,2024-25
20404,Compensatory Education,1788909.29,2024-25
20404,Districtwide Support,3063112.66,2024-25
20404,Food Services,556716.94,2024-25
20404,Other Instructional,580966.27,2024-25
20404,Special Education,6228425.73,2024-25
20404,Transportation,669758.23,2024-25
20404,Vocational/CTE,1090414.7,2024-25
20405,Basic Education,11340286.02,2024-25
20405,Community Services,212034.93,2024-25
20405,Compensatory Education,1438347.39,2024-25
20405,Districtwide Support,3593022.83,2024-25
20405,Food Services,691623.89,2024-25
20405,Other Instructional,706173.43,2024-25
20405,Special Education,2173827.47,2024-25
20405,Transportation,1445626.67,2024-25
20405,Vocational/CTE,695645.12,2024-25
20406,Basic Education,2823419.97,2024-25
20406,Compensatory Education,448754.67,2024-25
20406,Districtwide Support,910759.31,2024-25
20406,Food Services,187629.23,2024-25
20406,Other Instructional,34537.65,2024-25
20406,Special Education,362227.98,2024-25
20406,Transportation,236211.7,2024-25
21014,Basic Education,6205633.78,2024-25
21014,Compensatory Education,615945.94,2024-25
21014,Districtwide Support,2217423.7,2024-25
21014,Food Services,320828.0,2024-25
21014,Other Instructional,69428.13,2024-25
21014,Special Education,2144004.56,2024-25
21014,Transportation,444416.97,2024-25
21014,Vocational/CTE,1691165.79,2024-25
21036,Basic Education,605129.13,2024-25
21036,Compensatory Education,134735.67,2024-25
21036,Districtwide Support,328524.73,2024-25
21036,Food Services,52979.94,2024-25
21036,Other Instructional,10201.92,2024-25
21036,Special Education,90265.12,2024-25
21036,Transportation,31554.98,2024-25
21206,Basic Education,5451891.22,2024-25
21206,Community Services,264.41,2024-25
21206,Compensatory Education,796829.08,2024-25
21206,Districtwide Support,1977500.49,2024-25
21206,Food Services,482859.21,2024-25
21206,Other Instructional,199311.97,2024-25
21206,Special Education,2086518.18,2024-25
21206,Transportation,602385.66,2024-25
21206,Vocational/CTE,645518.16,2024-25
21214,Basic Education,3490651.54,2024-25
21214,Community Services,103000.48,2024-25
21214,Compensatory Education,506298.77,2024-25
21214,Districtwide Support,1575557.76,2024-25
21214,Food Services,311180.5,2024-25
21214,Other Instructional,12732.5,2024-25
21214,Special Education,1792459.52,2024-25
21214,Transportation,397421.94,2024-25
21214,Vocational/CTE,1316324.54,2024-25
21226,Basic Education,5092765.58,2024-25
21226,Compensatory Education,252130.68,2024-25
21226,Districtwide Support,1818547.66,2024-25
21226,Food Services,453328.69,2024-25
21226,Other Instructional,46055.29,2024-25
21226,Special Education,2335840.73,2024-25
21226,Transportation,380118.45,2024-25
21226,Vocational/CTE,780677.7,2024-25
21232,Basic Education,5887406.61,2024-25
21232,Community Services,270815.54,2024-25
21232,Compensatory Education,1397740.64,2024-25
21232,Districtwide Support,2174446.11,2024-25
21232,Food Services,640790.9,2024-25
21232,Other Instructional,143156.56,2024-25
21232,Special Education,5842719.1,2024-25
21232,Transportation,790820.32,2024-25
21232,Vocational/CTE,673358.91,2024-25
21234,Basic Education,3010964.49,2024-25
21234,Community Services,49124.59,2024-25
21234,Compensatory Education,247167.45,2024-25
21234,Districtwide Support,615551.33,2024-25
21234,Food Services,116606.49,2024-25
21234,Other Instructional,13831.65,2024-25
21234,Special Education,850735.11,2024-25
21234,Transportation,254588.76,2024-25
21234,Vocational/CTE,11907.39,2024-25
21237,Basic Education,7066166.16,2024-25
21237,Compensatory Education,712043.43,2024-25
21237,Districtwide Support,2537208.67,2024-25
21237,Food Services,592758.82,2024-25
21237,Other Instructional,67444.41,2024-25
21237,Special Education,2839637.87,2024-25
21237,Transportation,814678.69,2024-25
21237,Vocational/CTE,1031938.54,2024-25
21300,Basic Education,6540661.62,2024-25
21300,Community Services,219176.89,2024-25
21300,Compensatory Education,1042821.94,2024-25
21300,Districtwide Support,2339998.54,2024-25
21300,Food Services,624838.75,2024-25
21300,Other Instructional,102250.12,2024-25
21300,Special Education,2583608.89,2024-25
21300,Transportation,769404.81,2024-25
21300,Vocational/CTE,1122716.17,2024-25
21301,Basic Education,2930266.42,2024-25
21301,Compensatory Education,362975.66,2024-25
21301,Districtwide Support,1180822.07,2024-25
21301,Food Services,240713.63,2024-25
21301,Other Instructional,4653.82,2024-25
21301,Special Education,1064557.3,2024-25
21301,Transportation,220317.98,2024-25
21301,Vocational/CTE,166285.65,2024-25
21302,Basic Education,25797579.66,2024-25
21302,Community Services,169128.22,2024-25
21302,Compensatory Education,8055076.99,2024-25
21302,Districtwide Support,7056957.28,2024-25
21302,Food Services,1613474.36,2024-25
21302,Other Instructional,1275900.98,2024-25
21302,Special Education,7948767.93,2024-25
21302,Transportation,2022674.25,2024-25
21302,Vocational/CTE,2566723.37,2024-25
21303,Basic Education,3437780.94,2024-25
21303,COVID Relief,12425.23,2024-25
21303,Community Services,148286.23,2024-25
21303,Compensatory Education,414457.92,2024-25
21303,Districtwide Support,1682565.65,2024-25
21303,Food Services,330798.67,2024-25
21303,Other Instructional,118415.36,2024-25
21303,Special Education,1012269.54,2024-25
21303,Transportation,514043.76,2024-25
21303,Vocational/CTE,305761.7,2024-25
21401,Basic Education,27326387.24,2024-25
21401,Community Services,443956.02,2024-25
21401,Compensatory Education,5545822.01,2024-25
21401,Districtwide Support,6989505.79,2024-25
21401,Food Services,2479880.41,2024-25
21401,Other Instructional,1034063.22,2024-25
21401,Special Education,9413187.28,2024-25
21401,Transportation,3307709.07,2024-25
21401,Vocational/CTE,3808383.57,2024-25
22008,Basic Education,1463868.68,2024-25
22008,Compensatory Education,122589.59,2024-25
22008,Districtwide Support,553206.42,2024-25
22008,Food Services,108506.0,2024-25
22008,Other Instructional,62250.58,2024-25
22008,Special Education,239149.85,2024-25
22008,Transportation,163098.78,2024-25
22008,Vocational/CTE,105104.82,2024-25
22009,Basic Education,6172668.77,2024-25
22009,Community Services,26257.78,2024-25
22009,Compensatory Education,728982.74,2024-25
22009,Districtwide Support,2748147.72,2024-25
22009,Food Services,384130.71,2024-25
22009,Other Instructional,67240.16,2024-25
22009,Special Education,1197527.9,2024-25
22009,Transportation,1080937.9,2024-25
22009,Vocational/CTE,449694.98,2024-25
22017,Basic Education,1703074.06,2024-25
22017,Community Services,71985.93,2024-25
22017,Compensatory Education,72403.28,2024-25
22017,Districtwide Support,811057.22,2024-25
22017,Food Services,189567.29,2024-25
22017,Other Instructional,6890.39,2024-25
22017,Special Education,192042.97,2024-25
22017,Transportation,206711.36,2024-25
22017,Vocational/CTE,37259.14,2024-25
22073,Basic Education,1392790.61,2024-25
22073,Compensatory Education,193214.65,2024-25
22073,Districtwide Support,834756.3,2024-25
22073,Food Services,151725.14,2024-25
22073,Special Education,359700.36,2024-25
22073,Transportation,744074.69,2024-25
22073,Vocational/CTE,61048.16,2024-25
22105,Basic Education,2652268.48,2024-25
22105,Compensatory Education,284027.37,2024-25
22105,Districtwide Support,1081398.32,2024-25
22105,Food Services,188605.03,2024-25
22105,Other Instructional,6611.33,2024-25
22105,Special Education,528496.23,2024-25
22105,Transportation,394227.32,2024-25
22105,Vocational/CTE,214255.81,2024-25
22200,Basic Education,2422363.03,2024-25
22200,Compensatory Education,287564.08,2024-25
22200,Districtwide Support,1053727.93,2024-25
22200,Food Services,159302.87,2024-25
22200,Other Instructional,3020.46,2024-25
22200,Special Education,500767.8,2024-25
22200,Transportation,22173.86,2024-25
22200,Vocational/CTE,263261.7,2024-25
22204,Basic Education,1987042.03,2024-25
22204,Community Services,63022.22,2024-25
22204,Compensatory Education,199693.18,2024-25
22204,Districtwide Support,671107.44,2024-25
22204,Food Services,228323.33,2024-25
22204,Other Instructional,4593.47,2024-25
22204,Special Education,347978.73,2024-25
22204,Transportation,288347.16,2024-25
22204,Vocational/CTE,201063.86,2024-25
22207,Basic Education,5431971.57,2024-25
22207,Compensatory Education,811200.33,2024-25
22207,Districtwide Support,1823483.13,2024-25
22207,Food Services,429547.62,2024-25
22207,Other Instructional,143900.81,2024-25
22207,Special Education,1148863.79,2024-25
22207,Transportation,547075.95,2024-25
22207,Vocational/CTE,617828.61,2024-25
23042,Basic Education,2281954.66,2024-25
23042,Compensatory Education,420447.9,2024-25
23042,Districtwide Support,785616.67,2024-25
23042,Food Services,142529.74,2024-25
23042,Other Instructional,20154.14,2024-25
23042,Special Education,512810.24,2024-25
23042,Transportation,156738.55,2024-25
23054,Basic Education,2105436.6,2024-25
23054,Compensatory Education,209291.65,2024-25
23054,Districtwide Support,1017821.25,2024-25
23054,Food Services,202520.4,2024-25
23054,Other Instructional,35281.97,2024-25
23054,Special Education,567975.7,2024-25
23054,Transportation,203707.62,2024-25
23054,Vocational/CTE,6619.17,2024-25
23309,Basic Education,35368683.47,2024-25
23309,Community Services,184903.72,2024-25
23309,Compensatory Education,6517956.18,2024-25
23309,Districtwide Support,10310486.22,2024-25
23309,Food Services,2890339.8,2024-25
23309,Other Instructional,2445956.61,2024-25
23309,Special Education,12647724.23,2024-25
23309,Transportation,4438859.78,2024-25
23309,Vocational/CTE,7805393.94,2024-25
23311,Basic Education,8614650.45,2024-25
23311,Compensatory Education,558748.68,2024-25
